Soil Moisture,Temperature,Time,Wind speed (Km/h),Air humidity (%),rainfall,Soil Type,Crop Type,Irrigation_Needed
84,2,62,11.67,3.51,76.41312437,1,3,0
90,19,55,12.54,3.38,107.3198135,3,3,0
90,44,30,12.84,3.75,100.7689246,0,2,0
29,35,76,13.15,4.12,107.2681929,0,0,1
65,5,13,13.8,4.32,101.5952794,2,4,0
70,0,3,14.45,4.53,80.72515943,0,4,0
70,32,62,13.8,4.85,83.73280082,1,0,0
6,8,109,13.14,5.17,89.9622014,1,0,0
86,1,92,13.9,4.87,88.10234397,3,1,0
90,17,11,14.65,4.57,64.77791424,3,2,0
22,32,34,13.24,4.49,73.33636055,3,0,1
7,24,56,11.84,4.4,83.21030571,1,0,1
73,32,106,11.87,3.99,103.651438,0,1,0
78,23,106,11.9,3.57,84.22969177,3,1,0
26,26,54,12.14,3.71,96.59195302,2,3,1
2,28,106,12.38,3.85,67.96704792,3,4,1
48,5,44,11.98,3.97,83.20711308,1,2,0
31,45,79,11.59,4.09,87.85092352,3,3,1
4,7,78,11.83,4.35,95.71388473,0,0,0
71,22,21,12.07,4.61,67.61013737,3,1,0
74,6,73,11.44,4.62,97.59081274,1,4,0
58,20,67,10.8,4.63,64.23845455,1,3,0
76,3,78,11.14,4.7,75.82270467,2,4,0
78,36,99,11.48,4.77,88.17251033,1,1,0
5,14,88,11.83,4.84,104.2321615,2,3,0
8,32,110,12.17,4.91,67.10225139,0,3,1
31,6,94,12.04,4.59,67.72777298,1,4,0
30,34,78,11.9,4.27,103.2234212,3,1,1
58,25,27,11.88,4.22,107.2361366,0,0,0
28,9,19,11.85,4.17,75.03247667,3,3,0
19,16,22,12.25,4.06,78.16077693,3,0,0
26,15,84,12.65,3.96,105.0083144,3,1,0
51,37,10,12.48,3.88,62.49190812,0,3,0
4,45,110,12.31,3.8,107.9124111,0,3,1
80,25,19,12.76,3.98,74.52082026,1,0,0
68,24,17,13.2,4.17,62.91359494,3,2,0
8,9,16,12.52,4.12,69.93293255,2,0,0
53,35,75,11.83,4.06,108.5054416,1,0,0
79,32,19,12.03,3.96,78.96159541,0,2,0
68,5,10,12.23,3.87,79.84925393,2,1,0
76,37,32,12.08,3.7,93.62039175,0,1,0
34,18,49,11.93,3.53,85.75692395,2,3,0
28,0,10,11.2,3.34,82.34162918,1,4,0
62,36,4,11.96,2.96,108.7603001,2,4,0
88,27,63,12.72,2.58,70.23401597,1,3,0
1,23,66,12.44,2.74,65.50861389,0,4,1
25,0,14,12.16,2.9,98.73771338,2,0,0
40,2,30,12.4,2.88,88.55123143,3,0,0
77,22,100,12.63,2.86,79.92698081,3,2,0
66,22,87,11.54,2.99,68.54932919,0,2,0
52,21,8,10.44,3.12,88.51048983,2,3,0
84,34,98,10.75,3.08,79.26357665,3,3,0
26,7,21,11.06,3.05,92.68373702,1,3,0
38,34,34,11.29,3.1,74.6631118,2,0,1
48,24,19,11.52,3.16,82.61734721,2,4,0
12,20,108,9.75,3.52,81.84997529,3,3,0
51,0,2,7.98,3.87,81.98568791,1,3,0
83,26,86,9.14,3.7,93.55280105,1,0,0
64,3,84,10.31,3.52,74.58565097,1,0,0
35,10,15,10.75,3.5,78.96514709,2,0,0
81,17,17,11.19,3.48,80.7108745,0,4,0
47,15,107,10.26,3.6,70.18185181,2,3,0
18,40,32,9.34,3.72,71.58010169,2,1,1
54,40,44,9.44,3.88,73.50734019,3,1,0
60,18,42,9.54,4.05,82.52339655,0,3,0
20,38,21,9.01,4.17,66.96980581,1,3,1
39,16,82,8.48,4.29,90.46228334,3,3,0
19,17,5,8.41,4.14,71.31007253,2,3,0
61,16,84,8.34,3.98,85.74904898,0,4,0
40,28,9,8.36,3.94,89.31050665,1,1,0
37,4,69,8.39,3.9,85.52950164,1,2,0
61,14,83,8.41,3.86,72.94940441,2,1,0
70,8,44,8.43,3.82,72.32667516,1,1,0
40,43,20,8.46,3.78,74.87445574,1,0,0
84,6,57,8.48,3.74,94.70992037,0,3,0
60,30,79,8.11,3.86,83.74606679,3,3,0
5,29,92,7.74,3.99,78.92060234,0,3,1
8,25,66,7.37,4.12,83.75937135,3,0,1
58,44,23,7.0,4.24,76.57580954,3,4,0
1,27,69,6.48,4.5,91.76071648,3,4,1
65,7,108,5.97,4.75,76.32470713,1,2,0
50,35,109,6.2,4.79,89.73119396,0,4,0
2,15,94,6.44,4.83,93.35034262,1,4,0
28,17,19,5.85,5.22,81.20176515,2,3,0
56,13,81,5.25,5.61,81.70769297,0,1,0
35,29,101,4.5,6.22,83.74879344,3,4,1
16,8,58,3.74,6.82,77.5429424,1,4,0
90,7,4,4.02,7.38,77.92798682,1,0,0
33,44,31,4.29,7.93,82.2545577,0,2,1
40,38,32,4.04,8.25,70.52056697,0,0,0
75,15,51,3.79,8.56,72.78624223,3,3,0
43,41,87,4.02,9.15,85.24819851,3,1,0
87,15,47,4.25,9.74,85.37378769,2,2,0
90,44,35,5.06,9.64,75.6317566,3,0,0
67,27,9,5.86,9.54,89.61857826,1,4,0
83,24,59,5.52,10.34,75.49101167,2,4,0
85,12,55,5.17,11.15,86.05078037,2,2,0
62,23,22,5.62,11.73,80.25064637,2,4,0
88,38,101,6.07,12.3,78.26039559,0,0,0
10,30,61,5.22,13.09,75.57790384,3,0,1
20,39,97,4.36,13.88,72.9446671,2,4,1
62,12,36,3.78,14.36,90.7760707,0,4,0
50,26,102,3.2,14.83,77.81891424,0,3,0
35,45,11,3.08,14.93,78.06910795,2,1,1
83,20,49,2.97,15.04,85.57925437,2,2,0
5,0,2,2.86,15.08,69.40619137,1,0,0
27,12,99,2.75,15.12,76.32565249,2,2,0
34,21,48,3.06,15.58,80.6405403,1,3,1
32,3,4,3.38,16.05,80.1113384,2,0,0
30,28,91,3.66,16.13,91.94595352,2,3,1
63,8,60,3.94,16.22,87.51312796,3,3,0
61,20,96,3.83,15.56,94.00287214,2,4,0
60,36,40,3.72,14.89,88.4585692,2,2,0
54,24,55,4.51,14.34,84.78344008,1,2,0
71,26,4,5.31,13.78,68.97806542,1,4,0
14,45,89,5.07,13.56,88.68168643,3,2,1
39,15,26,4.83,13.34,65.23811143,2,4,0
40,37,36,4.85,13.36,65.78042032,2,0,0
50,1,99,4.86,13.38,74.63872762,1,3,0
73,9,100,5.1,13.32,82.69766829,0,3,0
37,41,73,5.34,13.25,69.64449182,0,2,1
43,0,69,5.22,14.4,87.27444866,0,1,0
76,29,9,5.1,15.54,70.87150577,1,3,0
53,36,108,5.35,16.4,92.06630306,1,4,0
71,9,82,5.59,17.26,79.20509212,0,1,0
26,9,53,5.84,18.12,68.81405149,0,1,0
12,41,44,6.28,18.26,72.85017344,2,3,1
67,13,93,6.72,18.41,79.45758333,1,3,0
17,45,85,6.8,18.22,65.11365631,1,3,1
26,38,75,6.87,18.02,80.4986291,0,4,1
78,39,63,6.96,17.3,73.64476535,0,1,0
30,27,104,7.06,16.58,81.5284269,3,2,1
20,5,50,6.74,16.43,88.6810311,1,4,0
79,28,107,6.43,16.29,68.4951189,3,0,0
40,17,49,6.44,16.19,78.44910564,2,3,0
10,11,82,6.44,16.09,77.33795356,3,1,0
84,8,93,6.27,15.62,94.78189594,0,4,0
11,8,110,6.1,15.14,94.03659867,1,0,0
63,28,95,5.92,14.94,78.69707199,1,4,0
40,2,101,5.73,14.75,69.15759062,3,4,0
33,37,62,5.24,14.77,90.82097601,3,2,1
75,11,107,4.76,14.79,76.77888672,2,2,0
24,30,3,4.57,15.1,67.9545435,2,4,1
65,15,94,4.38,15.41,73.0926704,0,0,0
35,25,94,3.98,15.27,69.09512477,0,1,1
44,15,68,3.59,15.13,89.60982451,0,1,0
39,1,96,4.26,15.57,81.78710463,3,3,0
13,35,58,4.92,16.0,128.256862,3,3,1
20,45,95,5.02,18.12,106.3598183,1,1,1
82,0,107,5.12,20.25,109.225556,0,4,0
72,5,46,4.36,20.45,140.3717815,3,4,0
56,30,35,3.61,20.65,76.64128258,1,2,0
14,44,94,4.25,21.04,143.0984171,0,2,1
25,10,24,4.89,21.44,60.91974792,2,3,0
13,6,71,4.97,20.72,104.7783947,2,1,0
43,43,91,5.06,19.99,132.9801054,3,4,0
62,1,98,4.59,19.48,130.0608093,1,1,0
56,36,60,4.12,18.97,143.7630894,2,0,0
60,10,41,5.43,18.12,87.99669731,1,1,0
89,7,35,6.73,17.26,144.1567454,1,0,0
46,23,41,6.79,16.78,134.3649948,2,2,0
8,29,7,6.85,16.31,88.06638775,1,2,1
13,10,63,7.01,16.06,69.63833855,2,3,0
55,35,16,7.17,15.82,116.5206923,3,1,0
65,27,62,6.44,16.02,86.21917578,0,1,0
34,33,5,5.71,16.22,137.1948633,0,0,1
55,17,51,5.09,16.61,108.3684316,3,2,0
32,10,79,4.47,17.0,67.71768947,2,0,0
60,38,41,3.87,17.4,144.7902323,2,2,0
80,21,9,3.28,17.8,69.44951585,2,0,0
22,16,97,2.75,18.58,121.9401369,2,2,0
2,21,62,2.22,19.35,82.68554379,3,0,1
31,8,33,3.49,20.23,139.7521543,0,2,0
59,11,40,4.75,21.1,108.3441414,1,0,0
27,6,75,6.0,20.2,96.77285817,1,1,0
42,40,102,7.24,19.31,100.6711761,0,3,0
19,31,54,6.86,19.27,87.0513289,3,0,1
37,43,37,6.49,19.23,64.19497947,1,3,1
17,16,55,6.08,19.92,105.4120514,0,1,0
42,22,38,5.66,20.61,61.13872036,3,1,0
90,39,61,5.8,20.76,106.158201,1,2,0
27,9,26,5.93,20.92,139.0302034,2,3,0
12,1,96,6.42,20.92,122.3886015,2,4,0
26,13,90,6.92,20.92,129.5650601,3,2,0
35,19,95,6.67,21.41,120.4509288,2,3,0
84,45,65,6.42,21.9,95.17028129,3,0,0
44,43,107,6.57,22.01,96.65888933,0,0,0
90,28,78,6.72,22.12,87.87869161,0,1,0
6,15,47,7.19,22.5,138.2362122,1,4,0
70,23,20,7.67,22.88,120.6913038,3,0,0
76,18,34,8.14,23.25,107.3850593,1,3,0
7,3,59,8.62,23.63,108.6434544,1,3,0
87,12,5,7.92,23.19,109.0193712,0,0,0
86,33,66,7.23,22.74,95.84253438,1,3,0
64,28,49,6.54,22.3,60.27552528,2,3,0
15,38,90,5.84,21.86,100.0497183,1,1,1
18,44,84,5.66,22.1,125.0972687,3,4,1
50,24,53,5.48,22.33,113.334026,2,1,0
36,11,99,5.64,22.6,103.2926407,0,4,0
81,32,52,5.8,22.88,75.45328039,3,3,0
66,38,105,5.97,23.15,62.21292186,2,4,0
86,4,1,6.13,23.42,98.77794225,3,3,0
5,0,104,5.96,23.38,107.6907964,2,3,0
85,28,20,5.78,23.34,63.38208822,3,1,0
14,12,73,5.65,23.66,87.66898664,3,1,0
32,34,50,5.53,23.99,138.414764,2,2,1
3,42,21,5.4,24.31,94.9533526,0,0,1
20,19,75,6.14,25.28,107.7315386,0,2,0
53,12,36,6.87,26.25,104.6252153,3,2,0
9,34,58,6.48,26.8,141.6056722,3,4,1
6,32,55,6.08,27.36,62.7089169,0,3,1
79,8,48,4.35,28.08,135.3315583,0,3,0
76,39,69,2.62,28.79,125.084915,1,3,0
77,23,108,3.14,29.61,107.4137246,0,0,0
63,45,13,3.66,30.43,63.59276673,3,4,0
3,5,7,4.36,30.62,146.4727237,2,4,0
40,3,63,5.05,30.8,119.6404412,0,3,0
31,20,96,5.82,29.96,126.7265372,1,2,0
90,5,2,6.6,29.13,134.1811718,1,0,0
8,27,27,6.24,28.95,135.3378033,1,2,1
37,1,96,5.89,28.77,100.118612,2,1,0
22,4,25,5.99,28.24,68.51253427,0,4,0
70,30,99,6.1,27.7,66.97053257,0,4,0
84,32,107,5.88,27.26,69.14681022,0,2,0
29,39,98,5.67,26.83,88.88796102,2,0,1
18,15,103,5.8,26.9,81.83420522,2,4,0
82,11,93,5.94,26.98,109.1013261,3,2,0
86,29,58,6.07,27.06,81.60211243,1,0,0
12,21,109,6.2,27.13,112.6616435,1,2,1
64,11,90,6.88,26.56,143.8584938,0,0,0
16,20,60,7.55,25.98,146.4548645,2,3,0
47,9,57,8.3,25.23,116.7324324,2,0,0
51,16,17,9.06,24.48,149.7441028,0,1,0
5,5,49,8.13,23.94,124.6118471,0,3,0
90,19,38,7.2,23.4,115.199245,3,2,0
32,0,90,6.95,22.37,84.64143632,1,3,0
16,22,40,6.7,21.34,129.3449326,1,3,1
42,30,91,6.44,20.3,130.3900798,1,2,0
86,32,34,6.19,19.27,80.15293435,3,2,0
86,9,17,6.74,18.02,64.02640797,0,1,0
80,3,30,7.3,16.76,139.2921004,0,2,0
58,43,36,7.46,15.44,76.14153904,1,4,0
90,37,60,7.62,14.13,73.36386477,1,4,0
78,44,72,8.62,13.18,100.5978728,3,1,0
38,26,73,9.63,12.22,84.06354115,2,0,1
39,23,60,9.74,11.43,133.1914419,2,0,1
9,8,103,9.84,10.64,104.2570723,1,4,0
73,37,35,9.84,9.84,122.6539694,3,2,0
77,0,72,9.83,9.03,163.7266551,1,1,0
16,17,12,10.36,8.72,103.3301803,2,0,0
56,37,68,10.88,8.41,142.3303677,1,0,0
8,4,56,11.48,8.38,184.6226709,2,3,0
27,45,92,12.07,8.34,149.299952,2,4,1
29,8,64,12.66,8.3,147.0361442,2,2,0
17,10,88,13.26,8.27,198.8298806,0,1,0
60,43,64,13.66,7.94,90.05422663,0,0,0
20,15,57,14.06,7.6,127.7767134,1,3,0
82,43,102,12.72,7.26,108.6333046,2,4,0
59,25,96,11.38,6.91,176.6165894,0,4,0
46,13,54,11.61,6.69,96.36222901,1,1,0
35,37,87,11.84,6.46,122.0146733,1,0,1
67,39,0,12.07,6.24,120.7435664,1,1,0
76,37,60,12.3,6.02,96.51524028,1,1,0
2,45,70,12.74,5.68,180.382234,1,3,1
20,30,104,13.18,5.33,107.4721605,3,4,1
36,29,62,13.71,5.12,161.4812963,2,2,1
86,24,93,14.24,4.92,121.5639121,1,4,0
7,5,92,12.96,4.72,194.5921148,3,4,0
82,34,4,11.69,4.53,179.2155874,2,3,0
20,27,67,12.14,4.32,192.4372194,0,2,1
65,27,19,12.59,4.11,114.2821387,1,0,0
32,11,54,13.43,4.11,139.6483317,3,2,0
72,7,51,14.27,4.11,132.7748215,0,0,0
73,44,79,13.66,4.08,186.5008581,3,2,0
8,32,15,13.06,4.05,157.0858232,2,1,1
7,31,58,13.34,3.86,139.6702541,2,2,1
58,17,94,13.61,3.67,177.3377996,0,3,0
68,12,65,12.88,3.66,94.46748008,3,0,0
65,37,15,12.14,3.66,161.7820226,1,4,0
31,37,11,12.2,3.56,108.5090168,1,3,1
54,42,80,12.26,3.45,150.8712202,0,0,0
12,32,93,12.4,3.29,168.5948318,0,0,1
78,37,70,12.53,3.13,197.3752649,0,4,0
72,16,105,12.92,3.02,91.72084869,3,1,0
17,33,65,13.32,2.91,180.716828,1,3,1
11,41,110,12.9,2.93,93.12330644,1,4,1
64,9,110,12.47,2.95,116.9106908,1,4,0
72,44,93,12.9,2.76,159.2649827,0,1,0
22,18,51,13.34,2.58,187.8961851,1,3,0
36,38,75,13.45,2.76,129.0064612,2,4,1
18,17,10,13.56,2.94,147.0414824,0,1,0
84,42,85,13.78,3.16,163.2747473,1,3,0
21,45,39,14.0,3.38,91.31256412,3,2,1
56,20,36,13.04,3.64,195.5697875,0,0,0
73,4,61,12.09,3.91,170.9919828,2,1,0
79,21,30,11.1,3.63,145.3728801,2,0,0
56,27,45,10.1,3.35,136.0456753,3,2,0
82,43,87,11.44,3.38,173.1686574,3,4,0
77,42,15,12.78,3.41,176.4134092,0,4,0
79,16,86,12.05,3.35,129.2028653,0,3,0
10,44,45,11.32,3.29,126.6738117,2,1,1
57,6,48,11.28,3.23,188.4928637,3,1,0
68,17,69,11.24,3.17,191.0658531,0,3,0
46,1,28,11.82,3.02,162.5927723,2,0,0
83,16,82,12.4,2.88,160.3337447,3,4,0
26,23,107,11.04,3.16,100.546816,2,4,1
78,24,81,9.67,3.43,105.0380275,1,1,0
7,29,22,10.67,3.4,192.3023991,3,1,1
48,2,97,11.67,3.37,148.2502786,0,3,0
34,0,55,11.29,3.49,197.1144011,0,2,0
48,3,71,10.91,3.6,118.3606557,1,0,0
5,27,47,11.01,3.53,100.4673278,3,2,1
15,36,52,11.12,3.46,191.0895109,2,2,1
48,2,69,11.22,3.39,195.787103,0,1,0
48,41,19,11.32,3.32,182.2688175,1,1,0
74,24,101,12.22,3.34,159.8938645,1,1,0
10,42,99,13.11,3.36,141.1250722,3,2,1
23,0,43,11.93,3.13,100.7791633,3,0,0
35,3,1,10.76,2.9,175.9303271,0,1,0
74,3,26,10.62,3.06,139.8710041,1,4,0
17,16,21,10.48,3.21,189.5208915,2,0,0
37,4,68,10.03,3.3,137.2279662,1,4,0
77,6,68,9.58,3.39,134.8596466,2,0,0
44,2,0,9.23,3.53,174.5723999,2,1,0
62,8,57,8.88,3.66,101.6073988,0,3,0
70,24,5,9.76,3.35,153.2504506,1,1,0
19,2,70,10.63,3.04,177.5764304,2,2,0
9,44,90,10.18,3.22,91.95792434,3,2,1
50,35,78,9.73,3.41,162.5931264,2,0,0
65,41,62,9.28,3.6,155.3705624,3,2,0
9,24,34,8.83,3.78,165.4113371,3,1,1
42,10,17,9.21,3.68,180.9009998,1,4,0
22,17,43,9.59,3.58,136.8274312,3,1,0
57,17,13,9.97,3.49,159.689339,2,0,0
25,44,94,10.35,3.39,178.8998611,3,2,1
25,34,59,10.32,3.4,165.405354,1,4,1
16,16,28,10.3,3.4,109.1821183,0,3,0
79,45,93,10.27,3.4,185.2039114,2,4,0
84,7,61,10.24,3.41,149.063196,2,4,0
2,31,40,10.21,3.42,180.6465282,1,1,1
33,26,99,10.18,3.42,96.74706956,1,3,1
80,29,32,10.16,3.42,124.6028153,1,0,0
86,34,71,10.13,3.43,198.1403003,1,0,0
30,24,110,10.05,3.66,172.40168,2,4,1
86,27,98,9.97,3.89,186.9226052,0,4,0
1,18,59,9.9,4.12,173.1106982,3,2,0
45,7,15,9.82,4.34,122.4564203,3,3,0
53,6,98,9.74,4.57,32.67891866,0,4,0
39,34,6,9.66,4.8,36.5037914,0,2,1
2,20,47,8.92,5.4,36.92629678,0,3,0
50,23,47,8.18,6.0,72.98016599,1,0,0
41,5,10,8.91,5.78,32.05025323,2,2,0
76,7,51,9.65,5.56,71.6266696,2,3,0
11,7,65,9.0,5.58,73.44775287,2,2,0
59,5,97,8.36,5.61,66.35634104,1,4,0
80,43,98,8.19,5.9,36.94255012,2,1,0
21,36,72,8.02,6.19,61.32935611,1,0,1
37,16,57,7.84,6.48,53.56783314,2,4,0
20,35,85,7.67,6.77,67.43488235,0,4,1
74,7,101,6.8,7.57,44.94317432,3,3,0
52,19,3,5.93,8.37,34.96933295,3,2,0
17,26,70,6.37,8.67,74.44330654,1,0,1
20,37,20,6.81,8.97,53.39249517,2,4,1
31,2,102,6.76,8.16,68.04039813,3,3,0
5,43,42,6.7,7.35,45.78172762,0,0,1
61,1,73,6.62,6.88,74.32635105,0,2,0
70,35,78,6.55,6.41,32.76742894,0,4,0
62,28,66,5.68,6.67,35.1051197,1,4,0
55,40,27,4.82,6.93,72.66666443,1,4,0
65,14,3,5.44,7.48,48.25207759,2,0,0
83,33,19,6.06,8.02,40.89732789,0,0,0
52,7,14,5.78,8.32,32.55919573,2,0,0
40,44,29,5.5,8.63,31.87416982,2,0,0
87,0,82,5.54,8.72,53.1205277,0,3,0
77,17,50,5.59,8.81,62.74803826,2,1,0
74,7,23,5.04,9.0,46.19374559,3,3,0
36,14,96,4.49,9.18,41.53749535,1,4,0
3,1,26,4.82,9.11,58.99536268,2,3,0
12,42,30,5.15,9.04,41.0550915,0,2,1
54,26,8,5.56,8.93,33.84110759,1,0,0
32,45,105,5.96,8.81,55.50429227,1,2,1
